TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0000003", "reproduction", 0.812587773341795, 6.47653883111155, -3.42676921574063, 5.29256395675177, -6.48148606012211, 1, 0, null, False
"GO:0000087", "mitotic M phase", 8.29046235970678, 5.592252340612, -5.13157859611975, 6.30127031115854, -0.744727494896694, 1, 0, null, False
"GO:0002376", "immune system process", 0.585600287420537, 6.06191677833925, -4.29794799005933, 5.15029581282554, -7.29242982390206, 1, 0, null, False
"GO:0007275", "multicellular organism development", 1.56061612794788, 6.52201537764768, -1.44786921709849, 5.57598870279513, -20.1487416512809, 0.912049589848789, 0, null, False
"GO:0009791", "post-embryonic development", 0.148748082544248, null, null, 4.55515493106319, -15.1870866433571, 0.922636581498713, 0.70189232, 7275, True
"GO:0009790", "embryo development", 0.300793944547756, null, null, 4.86096652975846, -12.0222763947112, 0.918748290290245, 0.75148325, 7275, True
"GO:0000902", "cell morphogenesis", 0.322569232032508, null, null, 4.89131997723589, -2.79588001734407, 0.927366823887849, 0.75679036, 7275, True
"GO:0032989", "cellular component morphogenesis", 0.183242192817851, null, null, 4.64572675826114, -2.53760200210104, 0.865892277222217, 0.77166808, 7275, True
"GO:0009888", "tissue development", 0.505819710728397, null, null, 5.0866907651036, -5, 0.928237147165407, 0.79282906, 7275, True
"GO:0030154", "cell differentiation", 1.18875420746529, null, null, 5.45778503977797, -6.76955107862173, 0.910808492900378, 0.84231742, 7275, True
"GO:0048869", "cellular developmental process", 1.20575682919996, null, null, 5.46395268171941, -6.60205999132796, 0.913439440459632, 0.84371192, 7275, True
"GO:0009653", "anatomical structure morphogenesis", 0.92041604719371, null, null, 5.34667759581901, -4.88605664769316, 0.924864100093921, 0.84646981, 7275, True
"GO:0048731", "system development", 1.41358736509658, null, null, 5.53301538667045, -8.26760624017703, 0.908672907722675, 0.88960806, 7275, True
"GO:0048468", "cell development", 0.534335559997339, null, null, 5.11050890380876, -5.09691001300806, 0.914618527602065, 0.90329404, 7275, True
"GO:0048513", "animal organ development", 0.826880912957928, null, null, 5.30013660222719, -8.26760624017703, 0.911583976392243, 0.90457894, 7275, True
